suite,dataset,model,method,val_auc,val_ap,val_accuracy,test_auc,test_ap,test_accuracy,loss_tail,evaluated_on_test,seed,wall_time_sec,peak_ram_mb,peak_gpu_mb,peak_cpu_percent,avg_cpu_percent,cpu_user_sec,cpu_system_sec,notes,selection_stage
hyperparameter_search,movielens_100k,dnn,grid_search,0.6456025625,0.5897222396682191,0.535875,,,,0.6273208379745483,False,456,0.3141699000261724,688.47265625,0.0,293.0,7.877419354838709,0.609375,0.640625,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.62920540625,0.5738467168926517,0.527,,,,0.6250519573688507,False,789,0.3214058999437839,688.47265625,0.0,195.3,4.725806451612905,0.484375,0.59375,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.638251625,0.5825775246027771,0.513,,,,0.6129386007785798,False,2026,0.32828380004502833,688.47265625,0.0,520.8,14.700000000000003,0.4375,0.609375,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5164123125000001,0.4973523335242975,0.48,,,,0.280835235118866,False,42,0.3205535999732092,688.47265625,0.0,312.5,5.040322580645161,0.53125,0.640625,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5298978125,0.5073295874993282,0.48125,,,,0.28991361856460574,False,123,0.32637180003803223,688.47265625,0.0,0.0,0.0,0.484375,0.625,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.52988840625,0.5083430371803459,0.481125,,,,0.2929468423128128,False,456,0.3170958000700921,688.47265625,0.0,104.2,4.83225806451613,0.484375,0.6875,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.52269078125,0.5086707045724835,0.48425,,,,0.2866868615150452,False,789,0.3155479999259114,688.47265625,0.0,390.6,11.025806451612905,0.703125,0.5,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.5011166250000001,0.4914153905357053,0.481625,,,,0.2783741295337677,False,2026,0.3144628000445664,688.47265625,0.0,520.8,8.399999999999999,0.546875,0.734375,"embedding_dim=32, hidden_dim=96, dropout=0.0, lr=0.01",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.66275140625,0.6120658603658881,0.58425,,,,0.6408430695533752,False,42,0.37804869993124157,688.4765625,0.0,488.3,22.577419354838717,0.46875,0.890625,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6554814375,0.5967381927768598,0.5605,,,,0.6397908091545105,False,123,0.38350699993316084,688.4765625,0.0,520.8,32.97258064516129,0.5,0.96875,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6543827187500001,0.5969176590440393,0.546375,,,,0.6421591281890869,False,456,0.39995220000855625,688.4765625,0.0,390.6,25.41451612903226,0.546875,0.5625,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6384691874999999,0.5838626973771373,0.541375,,,,0.6402224838733673,False,789,0.4137199999531731,688.4765625,0.0,416.7,29.09032258064517,0.703125,0.671875,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.6468396875000001,0.5935765850363268,0.52925,,,,0.6330135941505433,False,2026,0.40526459994725883,688.4765625,0.0,390.6,39.483870967741936,0.546875,0.84375,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.000630957344480193",validation_search
hyperparameter_search,movielens_100k,dnn,grid_search,0.49776212500000006,0.48840358307600296,0.478125,,,,0.283708256483078,False,42,0.3812094999011606,688.4765625,0.0,488.3,35.0741935483871,0.609375,0.6875,"embedding_dim=32, hidden_dim=96, dropout=0.35, lr=0.01",validation_search
